Field=#~Integer~#~50|Field=Type~String~Type~115|Field=Designator~String~Designator~105|Field=Value~String~Value~95|Field=Description~String~Description~115|Field=Footprint~String~Footprint~91|Field=LibRef~String~LibRef~102|Field=Quantity~Integer~Quantity~55|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Адаптер_USB-DMX512.PrjPcb|ReportField=ProjectFullPath~D:\I\_Домашняя лаба\Проекты\USB - DMX512 Адаптр\AD\Адаптер_USB-DMX512.PrjPcb|ReportField=Title~Перечень элементов For Project [Адаптер_USB-DMX512.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~16|ReportField=ReportTime~19:42:39|ReportField=ReportDate~07.10.2016|ReportField=ReportDateTime~07.10.2016 19:42:39|ReportField=OutputName~Перечень элементов|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~2436.181092.5167|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Скляр Р.С.|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~07.10.2016|ReportField=CurrentTime~19:37:24|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\I\_Домашняя лаба\Проекты\USB - DMX512 Адаптр\AD\Адаптер_USB-DMX512.SchDoc|ReportField=DocumentName~Адаптер_USB-DMX512.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=HeadOfSector~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=MainDevice~|ReportField=ModifiedDate~07.10.2016|ReportField=Name~Контроллер управления|ReportField=Name1~USB-DMX512|ReportField=Organization~S-LAB|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.94:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-4:MediaType=1:DitherType=10:PaperKind=A4:PrintScaleMode=1|ReportField=ProjectName~Адаптер_USB-DMX512.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=Scale~1:1|ReportField=SheetNumber~1|ReportField=SheetTotal~3|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Адаптер_USB-DMX512.PrjPcb|ReportField=DataSourceFullPath~D:\I\_Домашняя лаба\Проекты\USB - DMX512 Адаптр\AD\Адаптер_USB-DMX512.PrjPcb
1|Конденсатор|C1, C2, C3, C4, C5|100n||C0603|Cap 100n|5
2|Конденсатор|C6|22u 16V||Cap EL B|22u 16V|1
3|Микросхема|DD1|FT232RL|USB to UART Converter|SSOP28|FT232RL|1
4|Микросхема|DD2|MAX485CSA|HALF DUPLEX|SOIC8|MAX485CSA|1
5|Предохранитель|FU1|MF-NSMF050|13.2V 0.5A|F1206 Style1|MF-NSMF050_V|1
6|Резистор|R1, R2, R3|1k||R1206|Res 1k|3
7|Резистор|R4|120||R1206|Res 120|1
8|Разъем|XP1|LED's|Power Con (DS1070-4M)|WF-4 (DS1070-4M)|WF-4|1
9|Разъем|XP2|DMX-512 OUT|Power Con (DS1070-4M)|WF-3|WF-3|1
10|Разъем|XS1|USB|Female B|USB-B|USB B|1
